#newitem
#id cudgel
#gameid 363
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/ironcudgel.png
#ignore_dw_restrictions
#enditem

#newitem
#id wakizasi
#gameid 377
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/wakizasi.png
#enditem

#newitem
#name katana
#gameid 378
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/katana.png
#ignore_dw_restrictions
#enditem

#newitem
#name nodachi
#gameid 379
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/nodachi.png
#ignore_dw_restrictions
#enditem

--- Polearms

#newitem
#id spear
#type polearm
#gameid 28
#sprite /graphics/tengu/weapons/oversized/spear.png
#needs offhand nooffhand
#enditem

#newitem
#id yari
#type polearm
#gameid 376
#sprite /graphics/tengu/weapons/oversized/yari.png
#needs offhand nooffhand
#enditem

#newitem
#id naginata
#type polearm
#gameid 380
#sprite /graphics/tengu/weapons/oversized/naginata.png
#needs offhand nooffhand
#enditem
